datetime,XAU,XAG,XPT
2025-01-09 18:00:00-05:00,2670.05,30.09,1250.32
2025-01-09 19:00:00-05:00,2670.53,30.13,1250.32
2025-01-09 20:00:00-05:00,2671.14,30.19,1250.32
2025-01-09 21:00:00-05:00,2673.48,30.26,1250.32
2025-01-09 22:00:00-05:00,2673.81,30.27,1250.32
2025-01-09 23:00:00-05:00,2671.96,30.23,1250.32
2025-01-10 00:00:00-05:00,2675.1,30.26,1250.32
2025-01-10 01:00:00-05:00,2678.22,30.28,1250.32
2025-01-10 02:00:00-05:00,2676.32,30.24,1250.32
2025-01-10 03:00:00-05:00,2680.05,30.28,1250.32
2025-01-10 04:00:00-05:00,2678.74,30.31,1250.32
2025-01-10 05:00:00-05:00,2681.05,30.38,1250.32
2025-01-10 06:00:00-05:00,2681.38,30.4,1250.32
2025-01-10 07:00:00-05:00,2678.47,30.35,1250.32
2025-01-10 08:00:00-05:00,2682.69,30.33,1250.32
2025-01-10 09:00:00-05:00,2688.38,30.54,1250.32
2025-01-10 10:00:00-05:00,2692.69,30.34,1250.32
2025-01-10 11:00:00-05:00,2696.38,30.53,1250.32
2025-01-10 12:00:00-05:00,2696.14,30.42,1250.32
2025-01-10 13:00:00-05:00,2687.34,30.43,1250.32
2025-01-10 14:00:00-05:00,2685.82,30.4,1250.32
2025-01-10 15:00:00-05:00,2690.74,30.34,1250.32
2025-01-10 16:00:00-05:00,2689.0,30.42,1250.32
2025-01-12 18:00:00-05:00,2691.1,30.46,1250.32
2025-01-12 19:00:00-05:00,2689.67,30.41,1250.32
2025-01-12 20:00:00-05:00,2685.72,30.28,1250.32
2025-01-12 21:00:00-05:00,2688.64,30.32,1250.32
2025-01-12 22:00:00-05:00,2688.05,30.24,1250.32
2025-01-12 23:00:00-05:00,2686.18,30.23,1250.32
2025-01-13 00:00:00-05:00,2687.07,30.19,1250.32
2025-01-13 01:00:00-05:00,2690.41,30.27,1250.32
2025-01-13 02:00:00-05:00,2685.35,30.23,1250.32
